,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
43243,43243,David Byrne,Who,5Fik3NpxT1qBKSXfXe8YBr,38,2012,punk,0.687,0.552,7,-6.36,1,0.032,0.0811,0.000584,0.0875,0.538,90.062,229960,4
43244,43244,The All-American Rejects,Beekeeper’s Daughter,24m68kElKhXrlVUuBFtqaY,33,2012,punk,0.226,0.901,5,-3.795,1,0.106,0.0135,1.2e-06,0.336,0.447,171.765,213520,4
43245,43245,Kontravoid,Native State,1eZKa9INwBqh0AHn2EjEQk,37,2012,punk,0.625,0.91,9,-4.922,0,0.0575,0.0159,0.353,0.0624,0.626,119.986,150125,4
43246,43246,All Time Low,Paint You Wings,5WHACgW5H1aCA2FXILZt8D,38,2012,punk,0.415,0.98,1,-3.994,0,0.0838,5.04e-05,8.16e-05,0.286,0.569,160.082,220037,4
43247,43247,Waterparks,I Was Hiding Under Your Porch Because I Love You,2kI8ZrMXhxC2okkvq37T68,34,2012,punk,0.227,0.789,7,-3.283,1,0.0665,0.0117,1.12e-06,0.0754,0.495,155.029,232258,4
43248,43248,Green Day,99 Revolutions,3CgT96psOXwPssPNvYPclP,41,2012,punk,0.475,0.949,0,-3.431,1,0.0859,0.00041,0.0,0.0646,0.669,172.035,229893,4
43249,43249,Green Day,Stay the Night,62RJY1zulBzXwn1poj0Je7,40,2012,punk,0.371,0.958,2,-4.089,1,0.053,0.000116,0.000904,0.0677,0.6,171.867,276707,4
43250,43250,Green Day,The Forgotten,1Of1g1PMt1wKW1L4Te6oDM,42,2012,punk,0.534,0.425,9,-5.917,1,0.0272,0.128,0.0,0.14,0.0742,132.041,298733,4
43251,43251,Green Day,Fell for You,1qhrPLgAcTny6Xcv33GgLA,42,2012,punk,0.552,0.909,9,-3.413,1,0.0353,0.00052,4.72e-06,0.147,0.893,144.032,188653,4
43252,43252,The Toasters,Don't Let the Bastards Grind You Down,0XlPgrltmThUXK0hoClUfM,37,2012,punk,0.554,0.958,2,-6.618,1,0.064,0.0579,0.000169,0.0593,0.938,174.166,170800,4
43253,43253,Waterparks,Fantastic,3gfBgJBhsRNWYbek5BkLLT,33,2012,punk,0.303,0.914,6,-2.824,0,0.0929,0.0871,1.26e-06,0.344,0.255,159.925,229594,4
