,mean squared error,R
0,156325104.08803043,-59.606574356202955
1,152803379.84680423,-6.023385509989332
2,99921147.51144993,-3.097988564866542
3,44484475.31442563,-2.8773390295984544
4,133585736.18174192,-0.33535849032669485
5,103115826.73396969,-3.783233759600206
6,110341817.76020838,-26.93405327781541
7,127911088.48279923,-49.55486451990834
8,69846915.45649604,-1.2775436041090749
9,164013368.95105654,-10.971944013282304
10,24526771.36473834,0.42058817316428876
11,69546874.16126044,-1.9237564981863842
12,75766082.2889881,-7.700667547803057
